hand	tableId	playerCount	heroPosition	villainPosition	openerPosition	foldedPositions	activePositions	maxLivePlayers	heroHole	villainHole	board	heroAction	villainAction	heroNet	modelId	archetype	streetsPlayed	heroActions	villainActions	outcome
126	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	TdQs	Qc2h	3c 6d Jd Ks As	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(passive-big-pots@0.3)	1	Fold	Raise:2.50|Call|Call|Fold|Fold|Call	tie
127	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	9c4s	8sKs	Jc Th Qh Kh 6s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	1	Fold	Call|Call|Fold|Fold|Call|Call	tie
128	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	9c3h	2c5s	Kc 2d Td 2h Th	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Call|Call|Call|Fold|Call|Raise:2.50	tie
129	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Jd6h	4s8s	Qc 6d 8d 6s Qs	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Call|Raise:2.50|Fold|Fold|Call|Raise:2.50	tie
130	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Qc8s	6d4s	3c 4c Kd 3s Ks	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	1	Fold	Call|Call|Raise:2.50|Fold|Call|Fold	tie
131	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	5d7h	AdTh	7d 4h 6h 7s As	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	1	Fold	Raise:2.50|Fold|Fold|Call|Call|Call	tie
132	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	9c8h	6d8d	Kc Jh Qh Ah 3s	Fold	Fold	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Fold|Call|Call|Call|Raise:2.50|Call	tie
133	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	4c6d	6hTs	6c Qc 3d Jd 9s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(passive-big-pots@0.3)	1	Fold	Call|Raise:2.50|Call|Fold|Fold|Call	tie
134	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Ac9d	KcAs	3c Jd 8h Qh 3s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Call|Raise:2.50|Fold|Fold|Call|Raise:2.50	tie
135	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	3c3d	2h4s	7c Qd 5h 9s Js	Raise:2.50	Call	-11.0000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	4	Raise:2.50|Call|Call|Call|Fold	Call|Fold|Fold|Call|Call|Call|Call|Call|Raise:2.50|Call|Call|Call|Call|Call|Check|Raise:2.50|Call|Call|Call|Call|Call|Raise:2.50|Call|Fold|Call|Fold|Call|Check|Raise:2.50|Call|Call	loss
136	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	QdQs	3sAs	8d 9d Jd Th 5s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	1	Fold	Call|Raise:2.50|Call|Raise:2.50|Fold|Fold	tie
137	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	QhKh	8cJd	4c 6d 5h 4s Qs	Raise:2.50	Call	-13.5000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	4	Raise:2.50|Call|Call|Call|Call	Call|Call|Call|Call|Call|Fold|Raise:2.50|Call|Call|Call|Call|Call|Call|Raise:2.50|Call|Call|Call|Call|Fold|Call|Raise:2.50|Call|Call|Call|Fold|Call|Raise:2.50|Call|Fold|Call|Call	loss
