hand	heroPosition	heroHole	villainHole	board	winningsChips	winningsBb	decisions	villainObservations	action
4393	BigBlind	Kc3d	3s7s	KsJd9s6cJc	1900	19.000	4	5	b200b300c/b450c/b1150c/b2850f
4394	Button	TcKh	Jc5s		100	1.000	1	1	b300f
4395	BigBlind	9c6d	5c4d	8d3s2h4hQd	-12000	-120.000	5	6	b200b300c/b300b1500b2700c/b3000c/b6000c
4396	Button	Kc9d	Kd7s	QdJc5s	300	3.000	2	3	b300c/kb300f
4397	BigBlind	2cTc	JdQs	Ad7s4c8c	600	6.000	3	4	b200b300c/b300c/b600f
4398	Button	4dAh	Kd6h	9c8s8d	300	3.000	2	3	b300c/kb450f
4399	BigBlind	Jd3s	8c9c	Td5d2d6s	600	6.000	3	4	b200b300c/b300c/b600f
4400	Button	Kh7s	7h4s		100	1.000	1	1	b300f
4401	BigBlind	2sJs	Ac7h	7d6s3d4c	1800	18.000	4	5	b200b300c/b300b900b1500c/b1800f
4402	Button	3c9s	8hAs	QsJh6sJc	1750	17.500	4	6	b250b750b1250c/b250b500c/kb1750f
4403	BigBlind	Ad3s	5c9h	AcKd6h	300	3.000	2	3	b200b300c/b450f
4404	Button	8c7s	6d8d	9h8h4c	1250	12.500	3	4	b250b750b1250c/kb1900f
4405	BigBlind	KcKh	TdJs	KdJd7c6c	1150	11.500	3	4	b200b450c/b700c/b1750f
4406	Button	JcAd	Qd6h		100	1.000	1	1	b300f
4407	BigBlind	Jd9h	9sQs	Jh4c2sKsQh	1900	19.000	4	5	b200b300c/b450c/b1150c/b2850f
4408	Button	KdTh	5c5d	5h4c2s6h6s	-7200	-72.000	6	8	b300c/kb300b900b1500c/kb1800c/kb3600b16400f
4409	BigBlind	Ac4s	9cKd	6c5c4d	300	3.000	2	3	b200b300c/b450f
4410	Button	9hJh	AcJd	As5h2dQs6s	-2400	-24.000	4	7	b300c/kb300c/kb600c/kb1200c
4411	BigBlind	7c8s	6c8h		200	2.000	1	2	b200b300f
4412	Button	2sKs	Qc4d		100	1.000	1	1	b300f
4413	BigBlind	4hAh	2h9h		200	2.000	1	2	b200b300f
4414	Button	Td5s	7dQs	AsAcQd8d7s	-2000	-20.000	4	7	b250c/kb250c/kb500c/kb1000c
4415	BigBlind	Qd5s	AcKh	4h3h2c	3300	33.000	3	4	b200b300b1800b3300c/b3300f
